"* Select shipping method","* 选择配送方式"
"AVS Status: %s","AVS 状态：%s"
"Optional, leave empty for home page.","可选，留空为首页。"
"No","否"
"Enable Merchant Calculated","启用商家计算"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","启用此项，在购物车中点击 Google Checkout 按钮后购物车内容将会隐藏，若激活“编辑购物车”链接则恢复相关内容。"
"Add Shipping Method","增加配送方式"
"Large - %s","大尺寸 - %s"
"Enable this if your checkout request is too big and being cut off.","如果结帐请求因太长而被截断，启用此选项。"
"Fulfillment: %s -> %s","实际：%s -> %s"
"Secure Callback URL","安全回叫URL"
"Delivery Address Category","寄送地址分类"
"Small - %s","小尺寸 - %s"
"Medium - %s","中等尺寸 - %s"
"Auto-generated from GoogleCheckout Charge","从GoogleCheckout收费自动生成"
"Location","地区"
"Remove","删除"
"You will be redirected to GoogleCheckout in a few seconds.","几秒钟后您将跳转到GoogleCheckout."
"Merchant Key","商户密钥"
"Merchant ID","商户编号"
"Allowed Methods","允许方式"
"Free Shipping","免运费"
"CID Status: %s","CID 状态： %s"
"Disable Default Tax Tables","禁用默认税率表"
"Continue Shopping URL","继续购物网址"
"Checkout Image Style","结帐图片格式"
"Hide Cart Contents During Checkout","结帐时不显示购物车中商品"
"Default price:","缺省价格："
"Default Package Width (in)","缺省的包裹宽度（内部）"
"Default Package Height (in)","缺省的包裹重量（内部）"
"Default Package Length (in)","缺省的包裹长度（内部）"
"Default price for methods","缺省的配送方式价格"
"United States","美国"
"White Background","白色背景"
"Delivery schedule","Delivery schedule"
"Enable Digital Delivery","Enable Digital Delivery"
"Debug","调试"
"Financial: %s -> %s","财务：%s -> %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","购物人是否希望接收到推销类邮件: %s"
"Cart Discount","购物车折扣"
"Buyer account age: %s days","购货人帐户时间：%s天"
"Rate 3 Ship To Applicable Countries","费率三 寄送到相关国家"
"Rate 3 Ship to Specific Countries","费率三 寄送收到特定国家"
"Rate 3 Title","费率三 标题"
"Rate 3 Amount","费率三 总额"
"Rate 1 Ship to Specific Countries","费率一 寄送到特定国家"
"Rate 1 Ship To Applicable Countries","费率一 寄送到相关国家"
"Rate 1 Title","费率一 标题"
"Rate 1 Amount","费率一 总额"
"Rate 2 Ship to Specific Countries","费率二 寄送到特定国家"
"Rate 2 Ship To Applicable Countries","费率二 寄送到相关国家"
"Rate 2 Title","费率二 标题"
"Rate 2 Amount","费率二 总额"
"CC Partial: xxxx-%s","部分信用卡号码: xxxx-%s"
"Invoice auto-created: %s","自动生成发票：%s"
"Amount: %s","金额：%s"
"United Kingdom","英国"
"Transparent","透明背景"
"Virtual item to reflect discount total","虚拟商品计算总折扣"
"Google API","Google API"
"Required for live Google Checkout transactions.","Google Checkout 过程中必须的内容"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout","Google 结帐"
"Google Checkout Shipping - Flat Rate","Google 结帐 运费 - 固定运费"
"Google Checkout Shipping - Carrier Calculated","Google 结帐 配送 - 快递计算"
"Google Checkout Shipping - Merchant Calculated","Google 结帐 配送 - 商家计算"
"Google Checkout: %s","Google 结帐：%s"
"Google Risk Information:","Google 风险评估信息："
"Google Order Number: %s","Google 订单号：%s"
"Google order status change:","Google 订单状态变化："
"Google Buyer Id: %s","Google 购物人编号：%s"
"Google Refund:","Google 退款："
"Google Authorization:","Google 授权："
"Google Charge:","Google 收费:"
"IP Address: %s","IP 地址：%s"
"Method","Method"
"Sandbox","沙盒模式"
"Add","添加"
"Enable","激活"
"Enable Flat Rate","激活固定运费"
"Enable Carrier Calculated","激活计费运输                  "
"Eligible for protection: %s","有效保护: %s"
"Expiration: %s","有效期：%s"
"Latest Charge: %s","最近付款：%s"
"Latest Refund: %s","最近退款：%s"
"New order status","新订单状态"
"Carrier Calculated Methods","承运商计算方法"
"Total Charged: %s","总付款：%s"
"Total Refunded: %s","总退款：%s"
