"Incl. Tax","含税"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"Subtotal","小计"
"No shipping method required.","不要求寄送方式"
"Your billing address will be ignored and you will be redirected to PayPal website","不采用您的账单地址，将转向PayPal网站"
"Place an Order","下订单"
"You will be redirected to PayPal website when you place an order.","下订单时，会转向PayPal网站。"
"Price","价格"
"Edit Shopping Cart","修改购物车"
"Change Shipping Address","修改配送地址"
"Change Payment Method","修改支付方式"
"Product Name","商品名称"
"Email","电子邮件"
"Please select a shipping method...","请选择配送方式..."
"Billing Information","账单信息"
"Items in Your Shopping Cart","购物车中商品"
"Shipping Information","配送信息"
"Shipping Address","配送地址"
"Shipping Method","配送方式"
"PayPal Account","PayPal 帐户"
"PayPal Email","PayPal 邮件"
"Review Order","查阅订单"
"Submitting order information...","提交订单信息..."
"You will be redirected to Paypal in a few seconds.","您将会在几秒钟后跳转到Paypal页面"
"Payment Method","支付方式"
"Qty","数量"
"Update Shipping Method","更新配送方式"
