"%s - Special Discounts","%s - 特价"
"%s - Discounts and Coupons","%s - 折扣和优惠券"
"Details for %s #%s","%s 编号%s 的详情"
"%s RSS Feed","%s RSS 订阅"
"%s's Wishlist","%s的收藏"
"%s has reached a quantity of %s.","%s的数量为%s。"
"To:","发给:"
"Enable RSS","启用 RSS"
"Error in processing xml. %s","处理 xml. %s 出错"
"Customer Name: %s","客户名称：%s"
"Customer Order Status Notification","客户订单状态通知"
"Subtotal","小计"
"Total Products: %s","产品总计: %s"
"From:","从："
"Coupons/Discounts","优惠券/折扣"
"Low Stock Products","低库存商品"
"Current Status: %s<br/>","当前状态：%s<br/>"
"Pending product review(s)","待核商品评论"
"Store: %s <br/>","商店：%s <br/>"
"Product: ""%s"" review By: %s","商品：""%s"" 评论人：%s"
"Product: <a href=""%s"">%s</a> <br/>","商品：<a href=""%s"">%s</a> <br/>"
"Products tagged with %s","商品标记为%s"
"Gift Message","礼物留言"
"Tax","税"
"click <a href=""%s"">here</a> to view the review","点<a href=""%s"">这里</a>查看评论"
"Message:","留言:"
"Special/Discount Products","特价/折价商品"
"Special Products","特价商品"
"Catalog","目录"
"Category Feeds","目录订阅"
"Get Feed","获取 Feed"
"Top Level Category","顶级分类"
"Order # %s Notification(s)","订单 %s 通知"
"Order #%s created at %s","订单号 %s 订购日期 %s"
"Review: %s <br/>","评论：%s <br/>"
"Summary of review: %s <br/>","评论：%s <br/>"
"Comment: %s<br/>","评论：%s<br/>"
"Purchased From: %s","购自：%s"
"Shipping & Handling","配送处理"
"Notified Date: %s<br/>","通知日期：%s<br/>"
"RSS","RSS"
"RSS Feeds","RSS 订阅"
"Rss Feeds Section","Rss 订阅选择"
"Rss Config","RSS 设置"
"RSS testing","RSS 测试"
"There are no Rss Feeds.","There are no Rss Feeds."
"Discount ","折扣"
"New Products from %s","来自%s的新商品"
"Miscellaneous Feeds","杂项订阅"
"Tags Products","标记商品"
"There are no Rss Feeds","没有 Rss 订阅记录"
"New Products","新商品"
"New Orders","新订单"
"Cannot retrieve the wishlist","无法读取收藏"
"Wishlist","收藏"
"Grand Total","总计"
"Total: %s<br/>","总计: %s<br/>"
