"You cannot send more than %d times in an hour","1小时内不能发送超过%d次"
"Max Products Sent in 1 Hour","1小时内最多发送的商品数"
"Sender:","发件人:"
"Email to a Friend","发邮件给朋友"
"Send product to a friend","发送商品给朋友"
"Send email","发送邮件"
"Enabled","启用"
"Add Recipient","增加收件人"
"Name","姓名"
"Name:","姓名："
"You cannot email this product to a friend","不能发送该商品给朋友"
"Remove Email","删除邮件"
"Message:","内容:"
"Allow for Guests","允许访客"
"Link to a friend was sent.","给朋友的链接已发送。"
"Email Address","电子邮件"
"Email Address:","电子邮件："
"Email:","电子邮件："
"Email templates","电子邮件模板"
"Some emails was not sent","部分邮件没有发送"
"Some problems with data.","部分数据错误。"
"Select email template","选择邮件模板"
"Limit Sending By","限制发送"
"Maximum %d email addresses allowed.","最多允许%d个邮件地址。"
"Max Recipients","最多收件人"
"Recipient:","收件人："
