"(For US 2-letter state names)","(2个字母的省份名(适用于美国))"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果导入文件中'商店'栏目为空或者缺少，商品将被增加/更新到该商店。)"
"(If left empty will be auto-generated)","(如果留空将自动生成)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(为'否'时，仅导入映射字段。当映射时，用'column1'、'column2'等。)"
"(Starting with)","(开头)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(绝对路径或者相对于Magento安装根目录，例如 var/export)"
"(Leave empty for first spreadsheet)","(留空为第一个电子表)"
"(Shift-)Click or drag to change value","(Shift-)单击或者拖动以更改取值"
"(\t for tab)","(t 为制表符)"
"- Use the %s buttons to select month","- 使用 %s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用 %s, %s 按钮选择年份"
"- Hold mouse button on any of the above buttons for faster selection.","- 在上述按钮上长按鼠标以快速选择"
"- Click on any of the time parts to increase it","- 点击时间任意部分可以使其递增"
"- or click and drag for faster selection.","- 或者点击并拖动以快速选择。"
"- or Shift-click to decrease it","- 或者按住 Shift 并点击使其递减"
"Add","Add"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"API:","API:"
"Loading...","加载中..."
"DHTML Date/Time Selector","动态 HTML 日期/时间选择器"
"General Settings","基本设置"
"Old rate:","原来税率："
"Help Us Keep Magento Healthy - Report All Bugs","协助我们完善Magento – 报告所有错误"
"Upgrade All Available Packages","升级所有可用的安装包"
"Available Products","可用商品"
"Visibility:","可见性："
"Unselect All","取消全选"
"Unselect Visible","取消选择可见"
"Invoice History","发票记录"
"Invoice Totals","发票总计"
"Issue Number","发行号码"
"Issuer: %s","发行者: %s"
"First Name:","名字："
"No","否"
"Incl. Tax","含税"
"Add New User","增加新用户"
"Add New Role","增加新角色"
"Add New Template","增加新模板"
"Big Image","大图"
"Note:","备注："
"Notes:","备注："
"Name","姓名"
"Name:","姓名："
"Last Name:","姓氏："
"Archive file name:","存档文件名"
"Field Mapping","字段映射"
"Entity type:","实体类型："
"Customers","客户"
"Client Session timeout (sec.)","客户会话超时 （秒）"
"Customer Group:","客户分组："
"Done By:","完成于："
"Done by:","完成于："
"Installed As","安装为"
"Package","安装包"
"Packages","安装包"
"Package Information","安装包信息"
"Export","导出"
"Export to:","导出到："
"Export:","导出："
"Export Filters","导出条件"
"Import","导入"
"Import Service","导入服务"
"Password","密码"
"Decimal separator:","小数分割符"
"Display %s first","将 %s 显示在第一列"
"Attributes","属性"
"Attribute Set Name:","属性集名称："
"Confirmed email:","已验证的邮件："
"Prev. year (hold for menu)","上一年 （按住弹出菜单）"
"Prev. month (hold for menu)","上一月 （按住弹出菜单）"
"Upload Local File","上传本地文件"
"Upload local file:","上传本地文件："
"Last Logged In:","上次登录："
"Last Logged In (%s):","上次登录时间 (%s)："
"Exclude","不含"
"Excl. Tax","不含税"
"Account Created on (%s):","帐户创建于 (%s)："
"Account Created in:","帐户创建于："
"Account Created on:","帐户创建日期："
"Personal Information","个人信息"
"Next year (hold for menu)","下一年 （按住弹出菜单）"
"Next page","下一页"
"Next month (hold for menu)","下一月 （按住弹出菜单）"
"Download Remote File","下载远程文件"
"Interactive","交互式"
"Stock Quantity:","库存数量："
"From","从"
" and ","以及"
"images/logo.gif","件商品已选择"
"notice","件商品已选择"
"Price","价格"
"Price:","价格："
"Switch/Solo/Maestro(UK Domestic) Only","仅限 Switch/Solo/Maestro(英国国内)"
"Switch/Solo Only","仅限Switch/Solo"
"Only mapped fields","仅映射字段"
"Start Date","开始日期"
"Distributed under GNU LGPL. See %s for details.","使用 GNU LGPL 分发，详情请访问 %s。"
"Use Default Value","使用缺省值"
"Current Release Information","当前版本信息"
"Current Configuration Scope:","当前设置范围："
"MS Excel XML","微软 Excel XML"
"Credit Card Number","信用卡号"
"Credit Card Number: xxxx-%s","信用卡号：xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Card Verification Number","信用卡校验码"
"Edit User '%s'","修改用户'%s'"
"Edit Role","修改角色"
"Ignore","忽略"
"In File:","在文件"
"In Database:","在数据库："
"Address Type:","地址类型："
"Include","包含"
"Bundle Items","包裹物品"
"Enclose Values In:","包括值："
"Delete","删除"
"To","到"
"to","到"
"Subpackage","分包"
"Subpackages","分包"
"Group:","分组："
"Contents","内容"
"Store:","商店："
"Product","商品"
"Products","商品"
"Global Record Search","全站搜索"
"All","全部"
"Select All","全选"
"minor","公告"
"of %s pages","共%s页"
"Total %d records found","共有%d个记录"
"About the calendar","关于本日历"
"Close","关闭"
"critical","关键"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有动态价格的包裹不能含有自定选项。选项设置不会被保存。"
"Previous page","前一页"
"Dependencies","前提条件"
"Country:","国家："
"Images","图片"
"Value Delimiter:","值分隔符："
"Create a backup","Create a backup"
"Create New Staging Store View","Create New Staging Store View"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"CSV / Tab separated","CSV/Tab 分割"
"Status","状态"
"Status:","状态："
"Inactive","禁用"
"Drag to move","窗口可拖动"
"Original Magento attribute names in first row:","第一行的Magento原有属性名称："
"Manage Stores","管理商店"
"Type","类型"
"Type:","类型："
"Maintainers","维护人员"
"Thumbnail","缩略图"
"Default (Admin) Values","缺省(管理)值"
"Default Values","缺省值"
"Web Services","网络服务"
"Web Services Configuration","网络服务配置"
"State/Province:","省份："
"User","用户"
"Users","用户"
"User Name","用户名"
"User name","用户名"
"User Roles","用户角色"
"Spreadsheet Name:","电子表名："
"Email","电子邮件"
"Email:","电子邮件："
"Phone:","电话："
"Interface Locale: %s","界面语言：%s"
"Leave empty to use tax identifier","留空则使用税率标识符"
"Version:","版本"
"Catalog","目录"
"Logged in as %s","登录用户 %s"
"Page","页码"
"Passive mode","被动模式"
"Channel","频道"
"Channel:","频道："
"Email Preview","预览电子邮件"
"For latest version visit: %s","要了解最新版本信息，请访问: %s"
"Primary Billing Address","首选账单地址"
"Role","角色"
"Roles","角色"
"Role Users","角色用户"
"Roles Resources","角色资源"
"Warning! Empty value can cause problems with CSV format.","警告！空值可能引起 CSV 格式问题。"
"Order confirmation email sent","订单确认邮件已发送"
"Order Totals","订单总额"
"Number of records:","记录条数："
"License:","许可："
"Access Denied.","访问被拒绝"
"Please use in this field only ""a-z,0-9,_"".","该栏目只能输入""a-z,0-9,_""。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","该栏目只能输入字母(a-z)、数字(0-9)、空格、或#。"
"Please use letters only (a-z) in this field.","该栏目只能输入字母(a-z)。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","该栏目只能输入字母(a-z)或数字(0-9)，不能输入空格或其它字符。"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","该栏目只能输入数字，不能输入空格或点、逗号等字符。"
"This tab contains invalid data. Please solve the problem before saving.","该栏目有不正确的数据，请检查后再保存。"
"Please enter a valid value from list","请从列表中输入一个有效值"
"Please select one of the above options.","请在上面选择。"
"Please enter a number greater than 0 in this field.","请在该栏目输入大于0的数字。"
"Please enter a valid number in this field.","请在该栏目输入正确的数字。"
"Please make sure your passwords match.","请确认密码一致。"
"Please confirm site switching. All data that hasn't been saved will be lost.","请确认切换网站，所有未保存的数据将丢失。"
"Please wait, loading...","请等待，加载中..."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请用该日期格式：dd/mm/yyyy 例如 17/03/2006 表示 2006年3月17日"
"Please enter 6 or more characters.","请输入6个或更多字符。"
"Please enter a valid value, ex: 10,20,30","请输入一个有效值, 例如：10, 20, 30"
"Please enter valid password.","请输入正确的密码。"
"Please enter a valid credit card number.","请输入正确的信用卡号码。"
"Please enter a valid social security number. For example 123-45-6789.","请输入正确的社会保险号。例如 123-45-6789"
"Please enter a valid URL. http:// is required","请输入正确的网址。必须带http://"
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入正确的网址，例如 http://www.example.com 或 www.example.com"
"Please enter a valid email address. For example johndoe@domain.com.","请输入正确的电子邮件地址。例如 johndoe@domain.com"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入正确的电话号码。例如 (123) 456-7890 或 123-456-7890"
"Please enter a valid zip code.","请输入正确的邮编。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮编。例如 90602 或 90602-1234"
"Please enter a valid $ amount. For example $100.00.","请输入正确的金额，例如 $100.00"
"Please enter a valid date.","请输入正确的日期。"
"Please select one of the options.","请选择。"
"Please select State/Province.","请选择省份。"
"Please select an option.","请选择选项。"
"Comments History","评论记录"
"Billing Address","账单地址"
"Track order","跟踪订单"
