"%s Item(s)","%s件商品"
"Items %s to %s of %s total","%s到%s，共%s"
"(ver. %s)","(版本 %s)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- or click and drag for faster selection.","- or click and drag for faster selection."
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"About the calendar","About the calendar"
"Help Us to Keep Magento Healthy","协助我们完善 Magento"
"Click <a href=""%s"">here</a> if nothing has happened","如果没有反应，请点击 <a href=""%s"">这里</a>"
"Previous Page","上一页"
"Next Page","下一页"
"You're currently on:","当前登录帐号："
"Close Window","关闭窗口"
"Close","Close"
"Default Description","缺省说明"
"Default welcome msg!","缺省欢迎信息！"
"Interface Language","界面语言"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","版权所有 &copy; 2008 Magento 演示商店"
"Date selection:","Date selection:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"Page:","页："
"Skip to Main Content","转到主页眉"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有订单都不会被处理。"
"Select Store","选择商店"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Select date","Select date"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Right Column","Skip to Right Column"
"Time selection:","Time selection:"
"Time:","Time:"
"Report All Bugs","报告所有错误"
"Welcome, %s!","欢迎您，%s!"
"Redirecting...","正在重定向页面..."
"per page","每页"
"Show","显示"
"Your Language","您的语言"
"Your Language:","您的语言："
