"API Login ID","API 登录号"
"Authorize.net","Authorize.net"
"Email customer","发邮件给客户"
"Partner","合作伙伴"
"Password","密码"
"Transaction key","交易密钥"
"Invalid transaction id","交易编号不正确"
"Payment from applicable countries","从适用国家付款"
"Payment from Specific countries","从指定国家付款"
"Proxy Host","代理主机"
"Proxy Port","代理端口"
"Payment authorization transaction has been declined.","付款授权交易被拒绝。"
"Authorize Only","仅授权"
"Use Proxy","使用代理"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡校验"
"Merchant's email","商户的电子邮件"
"Merchant Login","商户登录"
"URL","网址"
"Gateway request error: %s","网关请求错误：%s"
"User","用户"
"Error in retrieving the transaction","获取交易信息错误"
"Maximum Order Total","订单最大值"
"Minimum Order Total","订单最小值"
"Debug","调试"
"Error in refunding the payment","退款时出错"
"Error in refunding the payment.","退款时出错。"
"Payflow Pro","Payflow Pro"
"TENDER","TENDER"
"Error in capturing the payment","接受支付时出错"
"Authorize and Capture","授权和接收"
"Invalid amount for authorization","授权金额不正确"
"Invalid amount for authorization.","授权金额不正确。"
"Sort order","排序"
"Title","标题"
"Fraud order status","欺诈订单状态"
"Test mode","测试模式"
"New order status","新订单状态"
"VERBOSITY","文本输出"
"Voided transaction","无效交易"
"Error in payment gateway","支付网关错误"
"Payment authorization error.","支付授权错误。"
"Error in authorizing the payment","支付授权时出错"
"Payment Action","支付操作"
"Enabled","打开"
