"%1$s incl tax.","%1$s 含税。"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的选项编号不正确，忽略该记录"
"%s - %s","%s - %s"
"Name In %s","%s中名称"
"%s Item(s)","%s件商品"
"(Copy data from: %s)","(复制数据自: %s)"
"(Will make search for the query above return results for this search.)","(该搜索将以上面返回的结果来查询。)"
"* Required Fields","* 必填项"
"-- Please Select --","-- 请选择 --"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"AM","AM"
"Amount","Amount"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Add Items to Cart","加到购物车"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to My Wishlist","加入收藏"
"Add to Wishlist","加入收藏"
"Based On","基于"
"General Information","基本信息"
"Old Price:","原价："
"Regular Price:","原价："
"List","单栏"
"Products per Page on List allowed values","单栏列表模式下每页商品显示数允许值"
"and above","及以上"
"Comparable on Front-end","可在前台比较"
"Globally Editable","可全站修改"
"Visible","可见"
"Visibility","可见性"
"Configurable Product","可设置商品"
"Configurable Product Settings","可设置商品的设置"
"Searchable","可搜索"
"Comparable","可比较"
"Top/Right","右上"
"Bottom/Right","右下"
"Double click on a group to rename it","双击组改名"
"Varchar","变量"
"unselect all","取消全选"
"Email to a Friend","发邮件给朋友"
"Send Count","发送计算"
"Backend Model","后台型号"
"Backend Table","后台表"
"Backend Table Title","后台表标题"
"First Name","名字"
"A name is required","名字必填"
"Attribute group with the ""/name/"" name already exists","名为 ""/name/"" 的属性组已存在"
"Name","名称"
"Name<br/>(For internal use)","名称<br/>(内部使用)"
"No","否"
"Incl. Tax","含税"
"Attrribute names can be specified per store.","同一属性可为每一个商店指定不同的名称。"
"Synonym For","同义"
"Synonym for","同义"
"Add New","增加"
"Add Attribute","增加属性"
"Add Tier","增加层次"
"Add Group","增加分组"
"Add Product","增加商品"
"Add Product To Websites","增加商品到网站"
"There was an error while adding products to websites","增加商品到网站时出错"
"Add Design Change","增加界面设计"
"Add Option","增加选项"
"Add New Attribute","增加新属性"
"Add New Attribute Set","增加新属性组合"
"Add New Group","增加新分组"
"Add New Images","增加新图片"
"Add New Set","增加新组合"
"Add New Search Term","增加新搜索关键词"
"Multiple Select","多选"
"Grid","多栏"
"Products per page on Grid allowed values","多栏模式下每页商品显示数量允许值"
"Duplicate","复制"
"Duplicate website tier price customer group and quantity.","复制网站分层价格客户组和数量。"
"Duplicate website, country and state tax found.","复制网站，国家和地区税率。"
"Failed","失败"
"Please click on Close Window button if it won't be closed automatically","如果窗口没有自动关闭，点关闭按钮"
"Last Name","姓氏"
"Media Image","媒体图片"
"Letters","字母"
"Letters(a-zA-Z) or Numbers(0-9)","字母(a-zA-Z)或数字(0-9)"
"Declare attribute value saving scope","定义属性值保存范围"
"Customer Group","客户组"
"Customers Reviews","客户评论"
"Customers Tagged Product","客户标签商品"
"Decimal","小数"
"Decimal Number","小数"
"Attributes","属性"
"Properties","属性"
"Invalid attribute option specified for attribute %s (%s), skipping the record","属性%s (%s)的属性选项不正确，忽略该记录"
"Attribute Model","属性型号"
"Attribute model not defined","属性型号未定义"
"Attribute Properties","属性参数"
"Attribute Name:","属性名称："
"Attribute Code","属性代码"
"Attribute with the same code already exists","属性代码已存在"
"Attribute Information","属性信息"
"Attribute Set","属性组合"
"Attrib. Set Name","属性组合名称"
"Invalid attribute set specified, skipping the record","属性组合不正确，忽略该记录"
"Attribute Label","属性标签"
"Position In Layered Navigation","层导航中位置"
"Position of attribute in layered navigation block","层导航方框中的属性位置"
"Top/Left","左上"
"Bottom/Left","左下"
"Assigned Products","已指定商品"
"Approved","已批准"
"Parent Category","上层分类"
"Prev","上一步"
"Previous","上一步"
"Upload new product image ","上传新的商品图片 "
"Nowhere","不可见"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要显示在目录或搜索结果中的商品， 相应商店中的状态要设置为'禁用'。"
"You cannot remove system attribute from this set.","不能从改组合中删除系统属性。"
"Exclude","不显示"
"Custom Design","主题设计"
"Next","下一个"
"Dropdown","下拉菜单"
"Cross-sells","交叉销售"
"Catalog Input Type for Store Owner","店主的目录输入类型"
"Availability","库存"
"Inventory","库存"
"Availability: Out of stock.","库存：缺货。"
"Availability: In stock.","库存：有货"
"Stock Availability","库存情况"
"Apply To","应用于"
"Apply To Configurable/Grouped Product","应用于可设置/组合商品"
"Learn More","了解更多"
"Copy From Configurable","从可设置复制"
"Remove product assignment","从分类中删除分配商品"
"Remove Product From Websites","从网站删除商品"
"There was an error while removing products from websites","从网站删除商品时出错"
"comma separated","以半角逗号分隔"
"Price","价格"
"Price Type","价格类型"
"Price:","价格："
"Static block only","仅固定方框"
"Can be used only with catalog input type Dropdown","仅用于目录下拉菜单"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","仅用于目录下拉菜单、多重选择和价格"
"Products only","仅限商品"
"Stretch","伸展"
"Notify Low Stock RSS","低库存提醒RSS"
"As low as:","低至："
"Position","位置"
"Use Default Value","使用缺省值"
"Use Config Settings","使用设置值"
"# of Use","使用次数"
"Number of Uses","使用次数"
"Currently Shopping by","当前购物人"
"Pending Reviews RSS","待审评论的RSS"
"ex. http://domain.com","例如 http://domain.com"
"Save","保存"
"Saved ","保存 "
"save","保存"
"Save Attribute","保存属性"
"Save Attribute Set","保存属性组合"
"Save And Continue Edit","保存并继续修改"
"Data Type for Saving in Database","保存在数据库的日期类型"
"Save Category","保存分类"
"Product saving error.","保存商品出错。"
"Problem saving the collection, aborting. Error: %s","保存组合时出错，退出。错误：%s"
"Error while saving this group. Group with the same name already exists.","保存该组时出错，同名组已存在。"
