"Destination folder ""%s"" is not a directory","""%s""不是目录"
"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">链接</a>"
"Processed records: %s","处理记录：%s"
"Error field mapping! Fields list for mapping is not defined","字段映射错误！映射字段未定义"
"Done","完成"
"hour","小时"
"hours","小时"
"Less than a minute","少于1分钟"
"Starting %s :: %s","开始 %s :: %s"
"Memory Used: %s","使用内存：%s"
"Skip undefined row","忽略未定义行"
"minute","分钟"
"minutes","分钟"
"Destination folder ""%s"" does not exist or not access to create","目标目录""%s"" 不存在或无法创建"
"Destination folder ""%s"" is not a writeable","目标目录""%s""不可写"
"Sheet 1","表 1"
"Access denied to destination folder ""%s""","被拒绝存取目标目录""%s"""
"ETA: %s","预期：%s"
"Please declare ""adapter"" and ""method"" node first","请先定义""适配器""和""方式"" 节点"
"Error occured during file opening: ""%s""","错误出现于打开文件：""%s"""
"Declared adapter %s not found","选定的适配器%s未找到"
"Loaded successfully: ""%s""","成功加载：""%s"""
"Saved successfully: ""%s"" [%d byte(s)]","成功保存：""%s"" [%d字节]"
"Dry run set, stopping execution","测试数据，停止执行"
"Method ""%s"" not defined in adapter %s","方式""%s""未在适配器%s中定义"
"File ""%s"" don't exist","文件""%s""不存在"
"Could not load file: ""%s""","无法加载文件：""%s"""
"Could not save file: %s","无法保存文件：%s"
"Found %d rows","找到%d行"
"Total records: %s","总记录：%s"
