"General Information","基本信息"
"By Percentage of the original price","原价的百分比"
"To Percentage of the original price","原价的百分比"
"Stop further rules processing","停止处理其它规则"
"Public In RSS Feed","发布 RSS Feed"
"No","否"
"Add New Rule","增加新的规则"
"Name: %s","姓名：%s"
"Customer registered: %s","客户已注册：%s"
"Customer Groups","客户分组"
"Subtotal","小计"
"Buy X get Y free (discount amount is Y)","买X送Y(优惠金额为Y)"
"Apply","应用"
"Apply to","应用于"
"Apply the rule to cart items matching the following conditions","应用规则到购物车中符合以下条件的商品"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","仅应用规则到购物车中符合以下条件的商品 (所有商品留空)"
"Apply the rule only if the following conditions are met (leave blank for all products)","仅以下条件成立才应用规则 (所有商品留空)"
"For matching items only","仅用于匹配商品"
"Priority","优先级"
"Coupon Code","优惠券代码"
"Coupon code","优惠券代码"
"Discount amount","优惠金额"
"Discount Qty Step (Buy X)","优惠数量递增(买X)"
"Start at: %s","开始：%s"
"Date Start","开始日期"
"From Date","开始日期"
"Save Rule","保存规则"
"Edit Rule","修改规则"
"Edit Rule '%s'","修改规则'%s'"
"Promotions","促销"
"For shipment with matching items","匹配商品的配送"
"Delete Rule","删除规则"
"Products subselection","商品子查询"
"Product attribute combination","商品属性组合"
"Percent of product price discount","商品价格优惠百分比"
"Free shipping","免运费"
"By Fixed value","固定价格"
"To Fixed Value","固定价格"
"By Fixed Amount","固定金额"
"To Fixed Amount","固定金额"
"Fixed amount discount","固定金额优惠"
"Status","状态"
"To Date","结束日期"
"ID","编号"
"Update prices using the following information","用下面的内容更新价格"
"Special price","特价"
"Catalog","目录"
"By Percentage","百分比"
"To Percentage","百分比"
"The page you are trying to save no longer exists","要保存的页面不存在"
"Rule Name","规则名称"
"Rule Information","规则信息"
"This rule no longer exists","该规则不存在"
"Description","说明"
"Description: %s","说明：%s"
"Cart Attribute","购物车属性"
"Price in cart","购物车中价格"
"Quantity in cart","购物车中数量"
"Shopping Cart Price Rule","购物车价格规则"
"Shopping Cart Price Rules","购物车价格规则"
"Row total in cart","购物车总计"
"Shipping Region","配送地区"
"Shipping Country","配送国家"
"Shipping State/Province","配送省份"
"Shipping Postcode","配送邮编"
"Shipping Method","配送方式"
"Conditions","条件"
"Conditions combination","条件组合"
"Uses per customer","每客户使用"
"Uses per coupon","每优惠券使用"
"Active","激活"
"NOT LOGGED IN","未登录"
"Inactive","未激活"
"Date Expire","有效期"
"Expire at: %s","有效期：%s"
"Maximum Qty Discount is Applied to","最大数量优惠应用于"
"Rule was successfully saved","成功保存规则"
"Rule was successfully deleted","成功删除规则"
"Yes","是"
"Customer is new buyer: %s","新客户：%s"
"New Rule","新规则"
"Unable to find a page to delete","无法找到要删除的页面"
"Actions","操作"
"Payment Method","支付方式"
"Fixed amount discount for whole cart","整个购物车固定金额优惠"
"Update the Product","更新商品"
"Update product's %s %s: %s","更新商品的%s %s：%s"
"Total Weight","总重量"
"Total Items Quantity","总数量"
