"FALSE","假"
"Add","增加"
"greater than","大于"
"If %s of these conditions are %s:","如果这些条件%s为%s："
"Name: %s","姓名：%s"
"less than","小于"
"is one of","属于"
"equals or less than","不大于"
"equals or greater than","不小于"
"is not one of","不属于"
"does not contain","不包含"
"is not","不等于"
"ANY","之一"
"by","于"
"Apply","应用"
"NOT MATCHING ANY","任意未匹配"
"Start at: %s","开始：%s"
"MATCHING ANY","匹配任意"
"MATCHING ALL","匹配所有"
"contains","包含"
"Remove","删除"
"to","到"
"ALL","全部"
"is","等于"
"TRUE","真"
"Description: %s","说明：%s"
"Please choose a condition to add...","请选择要增加的条件..."
"Please choose an action to add...","请选择要增加的操作..."
"Invalid discount amount.","错误的折扣金额。"
"Expire at: %s","有效期：%s"
"Perform following actions","执行以下操作"
"Open Chooser","打开选择"
"NOT MATCHING ALL","所有未匹配"
