"""%s"" coupon code is not valid.","""%s""优惠券代码不正确。"
"%s / %s rate:","%s / %s 比例："
"%s for %s","%s for %s"
"* - Enter custom price including tax","* - 输入自定义价格（含税）"
"* - Enter custom price excluding tax","* - 输入自定义价格（不含税）"
"Add To Order","加入订单"
"Add to Cart","加入购物车"
"Original Price","原价"
"Link to the previous order","历史订单的链接"
"Cancel","取消"
"Cancel invoice","取消发票"
"Invoice cancel problem","取消发票出现问题"
"Cancel order","取消订单"
"Processing","受理"
"Invoice","发票"
"Invoices","发票"
"Invoice #","发票号"
"Invoice # ","发票号"
"Invoice #%s","发票号%s"
"Invoice Comments","发票备注"
"Invoice Comment Email Sender","发票备注邮件的发件人"
"Invoice Comment Email Template","发票备注邮件的模板"
"Invoice void problem","发票作废出现问题"
"Invoice and Packing Slip Design","发票和发货单设计"
"Items Invoiced","发票商品"
"Items to Invoice","发票商品"
"Invalid qty to invoice item ""%s""","发票商品""%s""的数量不正确"
"Invoice email sent","发票邮件已发送"
"Invoice Email Sender","发票邮件的发件人"
"Invoice Email Template","发票邮件的模板"
"Invoice email not sent","发票邮件未发送"
"Invoice Date","发票日期"
"Qty Invoiced","发票数量"
"Qty to Invoice","发票数量"
"Invoice Update","发票更新"
"Shipped","发货"
"Shipped By","发货"
"Items Shipped","发货商品"
"Invalid qty to ship for item ""%s""","发货商品""%s""的数量不正确"
"Date Shipped","发货日期"
"Qty Shipped","发货数量"
"Qty to Ship","发货数量"
"Send Invoice Comment Email Copy To","发送发票备注邮件的复件到"
"Email Copy of Invoice","发送发票副本电子邮件"
"Send Invoice Email Copy To","发送发票邮件的复件到"
"Send Order Comment Email Copy To","发送订单备注邮件的复件到"
"Email Order Confirmation","发送订单确认邮件"
"Send Order Email Copy To","发送订单邮件的复件到"
"Send Shipment Comment Email Copy To","发送配送备注邮件的复件到"
"Email Copy of Shipment","发送配送记录副本邮件"
"Send Shipment Email Copy To","发送配送邮件的复件到"
"Send Credit Memo Comment Email Copy To","发送退款记录备注副本邮件到"
"Email Copy of Credit Memo","发送退款记录副本邮件"
"Send Credit Memo Email Copy To","发送退款记录副本邮件到"
"Send Tracking Information","发送查询信息"
"Name","名字"
"Incl. Tax","含税"
"Enable","启用"
"Enabled","启用"
"Add a gift message for <strong>each gift item</strong>","增加<strong>每件礼物</strong>的礼物留言"
"Add a gift message for the <strong>entire order</strong>","增加<strong>整个订单</strong>的礼物留言"
"Append Comments","增加备注"
"Add Tracking Number","增加运单号"
"Qty To Add","增加数量"
"Item options declare error","声明商品选项出现错误"
"Items options declare error.","声明商品选项出现错误。"
"Multi-address description message","多地址结帐说明信息"
"Multi-address error to show in shopping cart","多地址结帐购物车错误提示"
"Processing data problem","处理数据错误"
"Comment","备注"
"Comments","备注"
"Comments History","备注历史"
"Comment Text","备注文字"
"From Name","姓名"
"Customer","客户"
"Customer Name","客户姓名"
"Customer's Current Activities","客户当前活动"
"Customer Group","客户分组"
"Complete","完成"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"Subtotal","小计"
"Row Subtotal","小计行"
"Subtotal:","小计："
"Void invoice","将发票作废"
"Adjustment Fee","差价"
"Adjustment Refund","差价退款"
"Adjustment Refund:","差价退款："
"Adjustment Fee:","差价："
"Canceled","已取消"
"Credit Memo email sent","已发送退款记录邮件"
"Paid Amount","已付金额"
"Paid","已付款"
"Invoiced","已出发票"
"Ordered","已订购"
"Notified","已通知"
"Refunded","已退款"
"Total Refunded","已退款总额"
"Same As Billing Address","与账单地址一致"
"Excl. Tax","不含税"
"Not Capture","不接收"
"Account Information","帐号信息"
"Grand Total to be charged","应付款总计"
"Apply","应用"
"Select from existing customer addresses:","从已有客户地址中选择："
"Item option with code %s already exist","代码为 %s 的商品选项已存在"
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","以下部分产品选项不完整。请将其删除、补充所有必选项再重新添加。"
"Price","价格"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","仅用于HTML文档。放空则使用缺省 logo。<br />(jpeg, gif, png)"
"Discount","优惠"
"Discount ","优惠 "
"Discount (%s)","优惠 (%s)"
"Discount%s","优惠%s"
"Coupons","优惠券"
"Discount Amount","优惠金额"
"Discount :","优惠："
"Validate each address separately in multi-address checkout","使用多地址结帐时对每个地址分别进行验证"
"Apply Coupon Code","使用优惠券"
"Void","作废"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount","当折扣后总额低于最小金额什，此信息将在购物车显示。"
"Save and Close Message","保存并关闭信息"
"Save in address book","保存在地址簿"
"Order saving error: %s","保存订单出错：%s"
"Information","信息"
"Carrier","快递公司"
"Edit","修改"
"Edit Gift Messsage","修改礼物留言"
"Edit Order #%s","修改订单 %s"
"Display Order ID in Header","在头部显示订单ID"
"Capture Online","在线接收"
"Address","地址"
"Delete","删除"
"Remove","删除"
"Remove Coupon Code","删除优惠券代码"
"Remove tracking number","删除运单号码"
"Tier Pricing","分层定价"
"Create","创建"
"Create New Order for %s","创建%s的订单"
"Create New Order for %s in %s","创建%s的新订单于%s"
"Create new invoice for order","创建订单发票"
"Create New Order for New Customer","创建新客户的订单"
"Create New Order for New Customer in %s","创建新客户的订单于%s"
"Created At","创建时间"
"Message","内容"
"Message:","内容："
"Date of Birth","出生日期"
"Store Credit","商店退款"
"Item","商品"
"Product","商品"
"Products","商品"
"The item %s (SKU %s) doesn't exist in the catalog anymore","商品%s (SKU %s)已不在目录中"
"Product Name","商品名称"
"Item Status","商品状态"
"Invalid item option format","商品选项格式不正确"
"Allow Reorder","允许重下订单"
"Item qty declare error","公布商品数量出现错误"
"Total %d product(s)","共%d件商品"
"About This Order:","关于该订单："
"About Your Order","关于您的订单"
"Closed","关闭"
"Country","国家"
"Status","状态"
"Gift","礼物"
"Gift Message","礼物留言"
"Gift Certificate","礼物收据"
"Refund Offline","离线退款"
"Capture Offline","离线接收"
"Move to Shopping Cart","移至购物车"
"Move to Wishlist","移至收藏"
"Tax","税"
"TAX/VAT Number","税号/增值税号码"
"Tax Percent","税率百分比"
"Tax Amount","税额"
"Tax :","税："
"Hold","等待"
"Pending","等待"
"Pending PayPal","等待 PayPal 支付"
"Hold action is not available","等待操作不可用"
"Pending Payment","等待支付"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","缺省 logo, 将用于 PDF 和 HTML 文档。<br />(jpeg, tiff, png)"
"Backordered","缺货订单"
"ID","编号"
"Number","编号"
"Website","网站"
"State/Province","省份"
"Click to change shipping method","点击修改配送方式"
"Create Shipment","生成配送记录"
"separate by "",""","用"",""分开"
"Email","电子邮件"
"Telephone","电话"
"Retrieve invoice info","获取发票信息"
"Retrieve invoice information","获取发票信息"
"Retrieve order information","获取订单信息"
"Retrieve orders info","获取订单信息"
"Retrieve shipment info","获取配送信息"
"Retrieve shipment information","获取配送信息"
"Packingslip # ","装箱单号"
"Order","订单"
"Orders","订单"
"Order API","订单 API"
"Order #","订单号"
"Order # ","订单号 "
"Order # %s","订单号 %s"
"Order #%s","订单号%s"
"Order #%s - %s","订单号%s - %s"
"Order Invoices","订单发票"
"Order invoice","订单发票"
"Order Comment","订单备注"
"Order Comments","订单备注"
"Order Comment Email Sender","订单备注邮件的发件人"
"Order Comment Email Template","订单备注邮件的模板"
"Order Subtotal","订单小计"
"Order Subtotal:","订单小计："
"Order was placed using %s","订单使用%s"
"Order Information","订单信息"
"Order Status","订单状态"
"Order History","订单记录"
"Order Details","订单详情"
"Order Currency:","订单货币："
"Order Shipments","订单配送记录"
"Order shipments","订单配送记录"
"Order Credit Memos","订单退款记录"
"Order View","订单查看"
"Order was not cancelled.","订单未取消。"
"Order was not unholded.","订单未释放。"
"Order was not put on hold.","订单未挂起。"
"Order Date","订单日期"
"Order Date (%s)","订单日期 (%s)"
"Order Date: ","订单日期："
"Order Date: %s","订单日期：%s"
"Order Update","订单更新"
"Order Grand Total","订单总价"
"Order Total","订单总额"
"Order Totals","订单总额"
"Items Ordered","订购商品"
"Item ordered qty","订购商品数量"
"Send Order Email Copy Method","订购邮件副本发送方式"
"Placed from IP","订购来自此 IP"
"Qty Ordered","订购数量"
"Subscribe to Order Status","订阅订单状态"
"Subscribe to Newsletter","订阅邮件列表"
"Guest","访客"
"Invoice Comment Email Template for Guest","访客的发票备注邮件的模版"
"Invoice Email Template for Guest","访客的发票邮件的模板"
"Invoice Update for Guest","访客的发票更新"
"Order Comment Email Template for Guest","访客的订单备注邮件的模板"
"Order Update for Guest","访客的订单更新"
"Shipment Comment Email Template for Guest","访客的配送备注邮件模板"
"Shipment Email Template for Guest","访客的配送邮件模板"
"Shipment Update for Guest","访客的配送更新"
"New Order for Guest","访客的新订单"
"New Order Confirmation Template for Guest","访客的新订单确认邮件的模版"
"New Shipment for Guest","访客的新配送"
"Credit Memo Comment Email Template for Guest","访客退款记录备注邮件模板"
"Credit Memo Update for Guest","访客退款记录更新"
"Credit Memo Email Template for Guest","访客退款邮件模板"
" The customer doesn't exist in the system anymore","该客户已不存在系统中"
"This order no longer exists.","该订单已不存在。"
"Gift Message for this Order","该订单的礼物留言"
"Description message","说明信息"
"Please enter positive number in this field.","请在该栏中填入正数。"
"Please select a customer","请选择客户"
"Please select a store","请选择商店"
"Please select products to add","请选择要增加的商品"
"Bill to First name","账单名字"
"Bill to Name","账单姓名"
"Bill to Last name","账单姓氏"
"Billing Address","账单地址"
"Buy %s for price %s","购买 %s每件%s"
"Purchased On","购买日期"
"Shopping Cart","购物车"
"Error to show in shopping cart","购物车错误提示"
"SOLD TO:","购货人:"
"Purchased From","购自"
"Purchased from (store)","购自 (商店)"
"Shipment #","运单号"
"Shipment #%s","运单号%s"
"Shipping","运费"
"Shipping Refund","运费退款"
"Return to Stock","返回库存"
"Back to My Orders","返回我的订单"
"Partial","部分"
"Newsletter Subscription","邮件列表订阅"
"ZIP/Post Code","邮编"
"Sales","销售"
"Sales Section","销售单元"
"Sales Emails","销售邮件"
"Sales Emails Section","销售邮件单元"
"Invalid renderer model","错误的 renderer model"
"Unhold","释放"
"Unhold order","释放订单"
"Reorder","重下订单"
"Capture invoice","自动生成发票"
"Custom Price","自定义价格"
"Custom Value","自定义值"
"Custom Options","自定义选项"
"Amount","金额"
"Create new shipment for order","配件订单配送记录"
"Ship","配送"
"Shipment","配送"
"Shipments","配送"
"Shipping and Tracking Information","配送及查询信息"
"Shipping & Handling","配送及搬运"
"Shipping &amp; Handling","配送及搬运"
