"N/A","(无)"
"City","城市"
"Ship to applicable countries","发货到适用国家"
"Ship to Specific countries","发货到指定国家"
"Shipped or billed on:","发货或账单日期："
"Origin","发送地"
"Method name","名称"
"Export","导出"
"Import","导入"
"Store Pickup","上门取货"
"Invalid %s ""%s"" in the Row #%s","不正确的 %s ""%s"" 位于行 %s"
"Delivered on:","交货日期："
"Price","价格"
"Price vs. Destination","价格 : 目的地"
"Location","位置"
"Region/State","地区/州/省"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","内容重复 %s (国家 ""%s""，省份 ""%s""，邮编 ""%s"" 及 金额 ""%s"")"
"Info:","内容："
"Displayed Error Message","出错时显示的内容"
"# of Items (and above)","商品件数 (及以上)"
"# of Items vs. Destination","商品件数 : 目的地"
"Allow Shipping to multiple addresses","允许发货到多个地址"
"Maximum qty allowed for Shipping to multiple addresses","允许的发货地址数量"
"Free Shipping","免运费"
"Close Window","关闭窗口"
"Fixed","固定值"
"Flat Rate","固定运费"
"Country","国家"
"Invalid Country ""%s"" in the Row #%s","国家 ""%s"" 不正确，位于行 %s"
"Status:","状态："
"Signed by:","签字："
"Type","类型"
"Invalid Table Rate code for type %s: %s","类型 %s: %s 的表运费代码不正确"
"Invalid Table Rate code type: %s","类型：%s的表运费代码不正确"
"Invalid Region/State ""%s"" in the Row #%s","省份 ""%s"" 不正确，位于行 %s"
"Percent","百分比"
"contact us","联系我们"
"Table rates","表运费"
"Invalid Table Rates File Format","表运费文件格式不正确"
"Order Subtotal (and above)","订单小计 (及以上)"
"The shipping module is not available for selected delivery country","该配送方式不适用选择的交货国家"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","该配送方式目前不能用。如果您希望使用该配送，请联系我们。"
"Description","说明"
"Shipment #","运单号"
"Invalid Shipping Price ""%s"" in the Row #%s","运费 ""%s"" 不正确，位于行 %s"
"ZIP/Postal Code","邮编"
"Error:","错误："
"Weight (and above)","重量 (及以上)"
"Weight vs. Destination","重量 : 目的地"
"Weight:","重量："
"Carrier:","配送公司:"
"Shipping Settings","配送设置"
"Shipping Settings Section","配送设置单元"
"Shipping Methods","配送方式"
"Shipping Methods Section","配送方式单元"
"Options","选项"
"Tracking Number:","查询号："
"Tracking information is currently unavailable.","查询信息现在不可用。"
"Tracking information is currently not available. Please ","查询信息现在不可用，请稍后再试。"
"Track:","查询："
" for more information or email us at ","查阅详情或发邮件到"
"Sort order","排序"
"Condition","条件"
"Title","标题"
"Per Package","每包裹"
"Per Order","每订单"
"Service Type:","服务类型："
"Local Time","本地时间"
"Minimum order amount","最低订单金额"
"Show method if not applicable","显示不可用的方式"
"None","无"
"There is no tracking available for this shipment.","无法查询该配送。"
"There is no tracking available.","无法查询该配送。"
"Date","日期"
"Delivered to:","收货人："
"Enabled","打开"
"Handling Fee","手续费"
"Calculate Handling Fee","手续费算法"
